ID,Complaint,Department
1390,"Traffic signal is damaged at School Lane junction, Saidapet",Traffic
1391,Garbage collection truck has not come to Kodambakkam for 8 days,Waste Management
1392,School in Porur lacks proper toilet facilities,Education
1393,Dead animal left uncollected on Gandhi Street in the railway station road,Waste Management
1394,Bus service is irregular on the Perambur route,Public Transport
1395,"Low water pressure reported near Main Road, Porur",Water Supply
1396,No security personnel at the public park in the main market road,Public Safety
1397,Stray dogs are attacking residents in T Nagar,Public Safety
1398,Traffic signal timing is too short at Park Avenue,Traffic
1399,Electric pole near School Lane is leaning dangerously,Electricity
1400,Exposed wires near Gandhi Street pose a danger to residents,Electricity
1401,Transformer near Nehru Street in the old bus stand area is not working,Electricity
1402,School building near MG Road needs urgent repair,Education
1403,Auto drivers are refusing to use the meter near Park Avenue,Public Transport
1404,Someone demanded a bribe for approval of a document in the panchayat office area,Corruption
1405,Bribe was demanded for issuing a building permit in the railway station road,Corruption
1406,Mid day meal quality is poor at Vadapalani school,Education
1407,Teacher is absent regularly at the Perambur government school,Education
1408,Newly laid road on Market Road is already damaged,Road Maintenance
1409,Teacher is absent regularly at the Perambur government school,Education
1410,Streetside electric meter is sparking in Sector 5,Electricity
1411,Unsafe construction site near Temple Street lacks barricades,Public Safety
1412,"Street lights remain on during daytime in Sector 5, wasting power",Street Lighting
1413,"Low water pressure reported near Temple Street, Mylapore",Water Supply
1414,Electric pole near Temple Street is leaning dangerously,Electricity
1415,No security personnel at the public park in Vadapalani,Public Safety
1416,Live wire lying on Church Street poses electrocution risk,Public Safety
1417,Speed breakers are missing near the school on Bypass Road,Road Maintenance
1418,Corruption reported in distribution of government scheme benefits in Anna Nagar,Corruption
1419,Zebra crossing markings have faded on Ring Road,Traffic
1420,Solar street lights installed in Alwarpet are non functional,Street Lighting
1421,No security personnel at the public park in Anna Nagar,Public Safety
1422,"Low water pressure reported near Temple Street, Guindy",Water Supply
1423,Electricity is unavailable in Royapettah for the past 8 days,Electricity
1424,Official at the Royapettah office is demanding money for a certificate,Corruption
1425,Official at the Ward 12 office is demanding money for a certificate,Corruption
1426,Bus service is irregular on the Kolathur route,Public Transport
1427,Street light wiring is exposed and dangerous in Kodambakkam,Street Lighting
1428,Hospital in the housing board colony has no doctors available,Health
1429,Abandoned building near Bypass Road is unsafe for children,Public Safety
1430,Vaccination camp was cancelled without notice in Adyar,Health
1431,Dumping ground near Ward 12 is causing bad odor,Waste Management
1432,Deep pit left uncovered near School Lane in T Nagar,Public Safety
1433,Newly laid road on North Street is already damaged,Road Maintenance
1434,Vaccination camp was cancelled without notice in the old bus stand area,Health
1435,There is no drinking water in Egmore for the past 11 days,Water Supply
1436,Illegal parking is causing traffic jams on Station Road,Traffic
1437,Water body near Royapettah is being polluted by industrial waste,Environment
1438,Illegal parking is causing traffic jams on Main Road,Traffic
1439,Newly laid road on Station Road is already damaged,Road Maintenance
1440,Noise pollution from construction near Station Road at night,Environment
1441,Signboards are missing at the Temple Street intersection,Traffic
1442,School building near North Street needs urgent repair,Education
1443,Waterlogging occurs on Park Avenue during rains,Road Maintenance
1444,Garbage collection truck has not come to Adyar for 13 days,Waste Management
1445,No bus service available to Anna Nagar after 8 pm,Public Transport
1446,Dark stretch on North Street due to broken street lights,Street Lighting
1447,Electricity is unavailable in T Nagar for the past 3 days,Electricity
1448,10 street lights have been off for weeks near South Street,Street Lighting
1449,Unsafe construction site near Ring Road lacks barricades,Public Safety
1450,Open manhole causing danger on Bypass Road in near the temple,Public Safety
1451,No traffic police present at busy junction near School Lane,Traffic
1452,Signboards are missing at the South Street intersection,Traffic
1453,Long waiting times reported at Block C government hospital,Health
1454,Waterlogging occurs on Ring Road during rains,Road Maintenance
1455,Public dustbin near Church Street is broken and overflowing,Waste Management
1456,Electricity is unavailable in Tambaram for the past 5 days,Electricity
1457,"Street lights remain on during daytime in Tambaram, wasting power",Street Lighting
1458,Primary health center in Porur is understaffed,Health
1459,Overcrowded buses are running on the Mylapore route,Public Transport
1460,Ambulance service is delayed in the housing board colony,Health
1461,Billing error in electricity charges for Egmore residents,Electricity
1462,No science teacher appointed at near the temple school for 2 months,Education
1463,Abandoned building near Bazaar Street is unsafe for children,Public Safety
1464,Official at the Guindy office is demanding money for a certificate,Corruption
1465,No specialist doctor visits the the old bus stand area health center,Health
1466,Noise pollution from construction near Nehru Street at night,Environment
1467,A clerk is taking bribes for water connection approvals in the panchayat office area,Corruption
1468,Open manhole causing danger on North Street in Kolathur,Public Safety
1469,Live wire lying on North Street poses electrocution risk,Public Safety
1470,Illegal parking is causing traffic jams on Temple Street,Traffic
1471,No bus service available to Sector 5 after 8 pm,Public Transport
1472,Waterlogging occurs on MG Road during rains,Road Maintenance
1473,Illegal parking is causing traffic jams on Gandhi Street,Traffic
1474,Electric pole near Temple Street is leaning dangerously,Electricity
1475,Dumping ground near the housing board colony is causing bad odor,Waste Management
1476,Long waiting times reported at T Nagar government hospital,Health
1477,Zebra crossing markings have faded on Gandhi Street,Traffic
1478,Someone demanded a bribe for approval of a document in Ambattur,Corruption
1479,Burning of waste is causing smoke in Tambaram,Environment
1480,Street lights are not working on MG Road in Guindy,Street Lighting
1481,Plastic waste dumped near the water body in the old bus stand area,Environment
1482,Signboards are missing at the Bazaar Street intersection,Traffic
1483,No waste collection service provided in Anna Nagar colony,Waste Management
1484,Plastic waste dumped near the water body in Adyar,Environment
1485,Money was demanded for processing a pension application in the panchayat office area,Corruption
1486,Garbage collection truck has not come to Sector 5 for 2 days,Waste Management
1487,Leaking pipeline is wasting water on MG Road,Water Supply
1488,Frequent power cuts are occurring in Velachery,Electricity
1489,Street light flickers continuously on Market Road,Street Lighting
1490,Billing error in electricity charges for Royapettah residents,Electricity
1491,Textbooks not distributed on time in Mylapore schools,Education
1492,Government hospital near Market Road lacks basic medicines,Health
1493,Water tanker did not arrive in Guindy as scheduled,Water Supply
1494,"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting
1495,Water tanker did not arrive in the old bus stand area as scheduled,Water Supply
1496,Street light wiring is exposed and dangerous in Ambattur,Street Lighting
1497,Waterlogging occurs on North Street during rains,Road Maintenance
1498,Electric pole near Temple Street is leaning dangerously,Electricity
1499,Stray dogs are attacking residents in near the temple,Public Safety
1500,Overcrowded buses are running on the Adyar route,Public Transport
1501,Bus frequency has reduced drastically on Vadapalani route,Public Transport
1502,Illegal sand mining reported near Porur,Environment
1503,Waterlogging occurs on Gandhi Street during rains,Road Maintenance
1504,Garbage collection truck has not come to Ambattur for 2 days,Waste Management
1505,Stray dogs are attacking residents in the housing board colony,Public Safety
1506,"Traffic signal is damaged at Bypass Road junction, Royapettah",Traffic
1507,Bus service is irregular on the the housing board colony route,Public Transport
1508,No waste collection service provided in Royapettah colony,Waste Management
1509,Frequent traffic congestion on Station Road during peak hours,Traffic
1510,Exposed wires near Temple Street pose a danger to residents,Electricity
1511,No security personnel at the public park in Adyar,Public Safety
1512,Public dustbin near Nehru Street is broken and overflowing,Waste Management
1513,Auto drivers are refusing to use the meter near Park Avenue,Public Transport
1514,Contaminated water is being supplied in Mylapore,Water Supply
1515,School in Chromepet lacks proper toilet facilities,Education
1516,"New street light pole is needed on Gandhi Street, Block C",Street Lighting
1517,Contaminated water is being supplied in near the temple,Water Supply
1518,Auto drivers are refusing to use the meter near Ring Road,Public Transport
1519,"No signal at the school crossing near MG Road, the old bus stand area",Traffic
1520,Exposed wires near Temple Street pose a danger to residents,Electricity
1521,Leaking pipeline is wasting water on North Street,Water Supply
1522,Auto drivers are refusing to use the meter near Gandhi Street,Public Transport
1523,School in Ward 12 lacks proper toilet facilities,Education
1524,Someone demanded a bribe for approval of a document in T Nagar,Corruption
1525,Teacher is absent regularly at the Saidapet government school,Education
1526,Textbooks not distributed on time in Phase 2 schools,Education
1527,Vaccination camp was cancelled without notice in the housing board colony,Health
1528,Overcrowded buses are running on the Alwarpet route,Public Transport
1529,"Street lights remain on during daytime in Pallavaram, wasting power",Street Lighting
1530,Bus frequency has reduced drastically on Pallavaram route,Public Transport
1531,Noise pollution from construction near South Street at night,Environment
1532,Unsafe construction site near South Street lacks barricades,Public Safety
1533,Dead animal left uncollected on Temple Street in the main market road,Waste Management
1534,Encroachment on the lake near Block C is destroying wetlands,Environment
1535,Dead animal left uncollected on South Street in the old bus stand area,Waste Management
1536,Dumping ground near Mylapore is causing bad odor,Waste Management
1537,Noise pollution from construction near Ring Road at night,Environment
1538,Bus conductor misbehaved with passengers on Adyar route,Public Transport
1539,"No footpath available on Ring Road, pedestrians face danger",Road Maintenance
1540,Vaccination camp was cancelled without notice in the railway station road,Health
1541,Abandoned building near School Lane is unsafe for children,Public Safety
1542,Water pipe burst near School Lane in the railway station road,Water Supply
1543,Transformer near Gandhi Street in Egmore is not working,Electricity
1544,Solar street lights installed in the railway station road are non functional,Street Lighting
1545,Official at the Porur office is demanding money for a certificate,Corruption
1546,Noise pollution from construction near MG Road at night,Environment
1547,Road divider near Gandhi Street is broken,Road Maintenance
1548,"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance
1549,Corruption reported in distribution of government scheme benefits in near the temple,Corruption
1550,Last bus timing has been cancelled for Anna Nagar,Public Transport
1551,Streetside electric meter is sparking in near the temple,Electricity
1552,Zebra crossing markings have faded on Main Road,Traffic
1553,No specialist doctor visits the Saidapet health center,Health
1554,13 street lights have been off for weeks near Bypass Road,Street Lighting
1555,Transformer near Main Road in Perambur is not working,Electricity
1556,Hospital in Ambattur has no doctors available,Health
1557,Ambulance service is delayed in Ward 12,Health
1558,"No footpath available on Temple Street, pedestrians face danger",Road Maintenance
1559,Auto drivers are refusing to use the meter near Gandhi Street,Public Transport
1560,Water tanker did not arrive in Velachery as scheduled,Water Supply
1561,Ambulance service is delayed in the old bus stand area,Health
1562,Bus stop shelter near Bypass Road is damaged,Public Transport
1563,Bus stop shelter near Temple Street is damaged,Public Transport
1564,A municipal worker is taking bribes for water connection approvals in Royapettah,Corruption
1565,"Low water pressure reported near Gandhi Street, Vadapalani",Water Supply
1566,9 street lights have been off for weeks near Bypass Road,Street Lighting
1567,Stray dogs are attacking residents in Ward 12,Public Safety
1568,No bus service available to the panchayat office area after 8 pm,Public Transport
1569,Government hospital near North Street lacks basic medicines,Health
1570,Solar street lights installed in Kolathur are non functional,Street Lighting
1571,Long waiting times reported at Mylapore government hospital,Health
1572,Electric pole near Bazaar Street is leaning dangerously,Electricity
1573,Garbage collection truck has not come to Block C for 2 days,Waste Management
1574,Road divider near Church Street is broken,Road Maintenance
1575,Newly laid road on MG Road is already damaged,Road Maintenance
1576,"No footpath available on Bypass Road, pedestrians face danger",Road Maintenance
1577,"No footpath available on Temple Street, pedestrians face danger",Road Maintenance
1578,School building near Ring Road needs urgent repair,Education
1579,8 street lights have been off for weeks near MG Road,Street Lighting
1580,Illegal dumping of waste is happening near Temple Street,Waste Management
1581,No water connection provided despite application in Egmore,Water Supply
1582,Mid day meal quality is poor at Anna Nagar school,Education
1583,Overcrowded classrooms reported in Egmore government school,Education
1584,Illegal dumping of waste is happening near Station Road,Waste Management
1585,Water supply has been irregular in Guindy for 6 weeks,Water Supply
1586,Hospital in Egmore has no doctors available,Health
1587,Vaccination camp was cancelled without notice in the railway station road,Health
1588,Frequent power cuts are occurring in Pallavaram,Electricity
1589,Textbooks not distributed on time in Perambur schools,Education
1590,Garbage is overflowing near Gandhi Street in Phase 2,Waste Management
1591,School in Egmore lacks proper toilet facilities,Education
1592,Garbage is overflowing near MG Road in Egmore,Waste Management
1593,Someone demanded a bribe for approval of a document in Anna Nagar,Corruption
1594,No science teacher appointed at the government school area school for 10 months,Education
1595,Encroachment on the lake near Chromepet is destroying wetlands,Environment
1596,Hospital in T Nagar lacks cleanliness and hygiene,Health
1597,Bribe was demanded for issuing a building permit in Ambattur,Corruption
1598,Long waiting times reported at Ward 12 government hospital,Health
1599,Overcrowded buses are running on the Mylapore route,Public Transport
1600,"No signal at the school crossing near Market Road, Phase 2",Traffic
1601,Waterlogging occurs on Church Street during rains,Road Maintenance
1602,Long waiting times reported at Chromepet government hospital,Health
1603,Money was demanded for processing a pension application in Pallavaram,Corruption
1604,Last bus timing has been cancelled for Royapettah,Public Transport
1605,No science teacher appointed at Anna Nagar school for 14 months,Education
1606,Noise pollution from construction near Church Street at night,Environment
1607,Frequent power cuts are occurring in Nungambakkam,Electricity
1608,Electricity is unavailable in Sector 5 for the past 13 days,Electricity
1609,Garbage is overflowing near South Street in Nungambakkam,Waste Management
1610,Segregated waste is being mixed by collection staff in Porur,Waste Management
1611,Auto drivers are refusing to use the meter near Park Avenue,Public Transport
1612,Garbage collection truck has not come to the railway station road for 11 days,Waste Management
1613,Government hospital near Main Road lacks basic medicines,Health
1614,A municipal worker asked for extra money to process ration card in the government school area,Corruption
1615,Burning of waste is causing smoke in Egmore,Environment
1616,Borewell in T Nagar has run dry,Water Supply
1617,Bus frequency has reduced drastically on the panchayat office area route,Public Transport
1618,Electricity is unavailable in Anna Nagar for the past 10 days,Electricity
1619,Unsafe construction site near MG Road lacks barricades,Public Safety
1620,Plastic waste dumped near the water body in Egmore,Environment
1621,Hospital in Royapettah lacks cleanliness and hygiene,Health
1622,Illegal sand mining reported near Tambaram,Environment
1623,Teacher is absent regularly at the Ward 12 government school,Education
1624,No specialist doctor visits the Velachery health center,Health
1625,Illegal dumping of waste is happening near Nehru Street,Waste Management
1626,Unsafe construction site near Temple Street lacks barricades,Public Safety
1627,Illegal sand mining reported near Ward 12,Environment
1628,Construction debris left on South Street blocking traffic,Road Maintenance
1629,Unsafe construction site near Nehru Street lacks barricades,Public Safety
1630,Noise pollution from construction near Main Road at night,Environment
1631,Government hospital near Temple Street lacks basic medicines,Health
1632,No science teacher appointed at Alwarpet school for 3 months,Education
1633,Voltage fluctuation is damaging appliances in Nungambakkam,Electricity
1634,Live wire lying on Park Avenue poses electrocution risk,Public Safety
1635,"Traffic signal is damaged at MG Road junction, Block C",Traffic
1636,Illegal tree cutting is happening near School Lane in Alwarpet,Environment
1637,No specialist doctor visits the Guindy health center,Health
1638,"Traffic signal is damaged at Church Street junction, Adyar",Traffic
1639,Huge potholes on South Street in the industrial estate,Road Maintenance
1640,Unsafe construction site near North Street lacks barricades,Public Safety
1641,No science teacher appointed at Alwarpet school for 12 months,Education
1642,13 street lights have been off for weeks near Church Street,Street Lighting
1643,"No signal at the school crossing near Temple Street, the panchayat office area",Traffic
1644,Voltage fluctuation is damaging appliances in Kodambakkam,Electricity
1645,Frequent traffic congestion on Ring Road during peak hours,Traffic
1646,Road divider near MG Road is broken,Road Maintenance
1647,Textbooks not distributed on time in the panchayat office area schools,Education
1648,"No footpath available on School Lane, pedestrians face danger",Road Maintenance
1649,Broken compound wall near Market Road is a safety hazard,Public Safety
1650,School in Phase 2 lacks proper toilet facilities,Education
1651,Illegal tree cutting is happening near Station Road in Egmore,Environment
1652,Zebra crossing markings have faded on Bazaar Street,Traffic
1653,No bus service available to the housing board colony after 8 pm,Public Transport
1654,Encroachment on the lake near Saidapet is destroying wetlands,Environment
1655,Road near Main Road has not been repaired after monsoon,Road Maintenance
1656,"No signal at the school crossing near Temple Street, Anna Nagar",Traffic
1657,Bus stop shelter near Nehru Street is damaged,Public Transport
1658,Public dustbin near Ring Road is broken and overflowing,Waste Management
1659,Construction debris left on MG Road blocking traffic,Road Maintenance
1660,Overcrowded buses are running on the Block C route,Public Transport
1661,Air pollution levels are high near the factory in the housing board colony,Environment
1662,No specialist doctor visits the the main market road health center,Health
1663,School lacks drinking water facility in Anna Nagar,Education
1664,Garbage is overflowing near MG Road in Nungambakkam,Waste Management
1665,Dead animal left uncollected on Bypass Road in Mylapore,Waste Management
1666,Illegal dumping of waste is happening near Church Street,Waste Management
1667,Auto drivers are refusing to use the meter near School Lane,Public Transport
1668,3 street lights have been off for weeks near Nehru Street,Street Lighting
1669,Dead animal left uncollected on Park Avenue in Ambattur,Waste Management
1670,Waterlogging occurs on Gandhi Street during rains,Road Maintenance
1671,Abandoned building near North Street is unsafe for children,Public Safety
1672,Primary health center in Chromepet is understaffed,Health
1673,Open manhole causing danger on Market Road in Ward 12,Public Safety
1674,Abandoned building near Bazaar Street is unsafe for children,Public Safety
1675,Bus service is irregular on the Guindy route,Public Transport
1676,Billing error in electricity charges for Royapettah residents,Electricity
1677,No water connection provided despite application in Block C,Water Supply
1678,Frequent traffic congestion on Main Road during peak hours,Traffic
1679,Illegal sand mining reported near Phase 2,Environment
1680,"Street lights remain on during daytime in Perambur, wasting power",Street Lighting
1681,Exposed wires near Market Road pose a danger to residents,Electricity
1682,Waterlogging occurs on Market Road during rains,Road Maintenance
1683,Electric pole near Nehru Street is leaning dangerously,Electricity
1684,Electricity is unavailable in Kodambakkam for the past 7 days,Electricity
1685,2 street lights have been off for weeks near Main Road,Street Lighting
1686,Auto drivers are refusing to use the meter near Station Road,Public Transport
1687,Segregated waste is being mixed by collection staff in the old bus stand area,Waste Management
1688,Hospital in the government school area has no doctors available,Health
1689,Streetside electric meter is sparking in Tambaram,Electricity
1690,Dark stretch on Main Road due to broken street lights,Street Lighting
1691,"No signal at the school crossing near School Lane, the housing board colony",Traffic
1692,Broken compound wall near Main Road is a safety hazard,Public Safety
1693,Newly laid road on Park Avenue is already damaged,Road Maintenance
1694,Bribe was demanded for issuing a building permit in Block C,Corruption
1695,Speed breakers are missing near the school on Market Road,Road Maintenance
1696,Road near Church Street has not been repaired after monsoon,Road Maintenance
1697,Street lights are not working on Main Road in Block C,Street Lighting
1698,No water connection provided despite application in the housing board colony,Water Supply
1699,Garbage collection truck has not come to Ambattur for 11 days,Waste Management
1700,Dumping ground near Kolathur is causing bad odor,Waste Management
1701,Long waiting times reported at Velachery government hospital,Health
1702,No water connection provided despite application in Tambaram,Water Supply
1703,Electricity is unavailable in Velachery for the past 4 days,Electricity
1704,Streetside electric meter is sparking in Velachery,Electricity
1705,Hospital in Royapettah has no doctors available,Health
1706,There is no drinking water in Nungambakkam for the past 11 days,Water Supply
1707,Auto drivers are refusing to use the meter near Station Road,Public Transport
1708,No bus service available to Pallavaram after 8 pm,Public Transport
1709,Water body near Alwarpet is being polluted by industrial waste,Environment
1710,Zebra crossing markings have faded on MG Road,Traffic
1711,"No footpath available on Bazaar Street, pedestrians face danger",Road Maintenance
1712,"New street light pole is needed on Nehru Street, Anna Nagar",Street Lighting
1713,Street lights are not working on Station Road in Kodambakkam,Street Lighting
1714,Hospital in Nungambakkam has no doctors available,Health
1715,Burning of waste is causing smoke in Tambaram,Environment
1716,Broken compound wall near School Lane is a safety hazard,Public Safety
1717,Bus frequency has reduced drastically on Mylapore route,Public Transport
1718,No water connection provided despite application in Adyar,Water Supply
1719,Official at the Anna Nagar office is demanding money for a certificate,Corruption
1720,Street light wiring is exposed and dangerous in the railway station road,Street Lighting
1721,"Low water pressure reported near School Lane, Kolathur",Water Supply
1722,No specialist doctor visits the the railway station road health center,Health
1723,Illegal parking is causing traffic jams on MG Road,Traffic
1724,No traffic police present at busy junction near Church Street,Traffic
1725,Bus service is irregular on the the panchayat office area route,Public Transport
1726,Solar street lights installed in near the temple are non functional,Street Lighting
1727,Auto drivers are refusing to use the meter near Gandhi Street,Public Transport
1728,No traffic police present at busy junction near Church Street,Traffic
1729,Segregated waste is being mixed by collection staff in Tambaram,Waste Management
1730,Deep pit left uncovered near School Lane in the railway station road,Public Safety
1731,Auto drivers are refusing to use the meter near Nehru Street,Public Transport
1732,Frequent power cuts are occurring in Phase 2,Electricity
1733,Illegal sand mining reported near Porur,Environment
1734,School lacks drinking water facility in the main market road,Education
1735,Hospital in Perambur has no doctors available,Health
1736,Bus frequency has reduced drastically on Ambattur route,Public Transport
1737,Segregated waste is being mixed by collection staff in Kodambakkam,Waste Management
1738,Mid day meal quality is poor at Royapettah school,Education
1739,Official at the Egmore office is demanding money for a certificate,Corruption
1740,Leaking pipeline is wasting water on Ring Road,Water Supply
1741,Money was demanded for processing a pension application in near the temple,Corruption
1742,Overcrowded classrooms reported in Nungambakkam government school,Education
1743,Overcrowded classrooms reported in Tambaram government school,Education
1744,Unsafe construction site near Station Road lacks barricades,Public Safety
1745,Government hospital near Station Road lacks basic medicines,Health
1746,3 street lights have been off for weeks near Main Road,Street Lighting
1747,Contaminated water is being supplied in near the temple,Water Supply
1748,Zebra crossing markings have faded on Nehru Street,Traffic
1749,Abandoned building near Gandhi Street is unsafe for children,Public Safety
1750,13 street lights have been off for weeks near Nehru Street,Street Lighting
1751,Signboards are missing at the Temple Street intersection,Traffic
1752,Water supply has been irregular in the railway station road for 9 weeks,Water Supply
1753,Garbage is overflowing near Gandhi Street in Perambur,Waste Management
1754,Road near MG Road has not been repaired after monsoon,Road Maintenance
1755,Electricity is unavailable in the panchayat office area for the past 9 days,Electricity
1756,Primary health center in Anna Nagar is understaffed,Health
1757,Water tanker did not arrive in Block C as scheduled,Water Supply
1758,Illegal sand mining reported near Adyar,Environment
1759,Dark stretch on Nehru Street due to broken street lights,Street Lighting
1760,School in Adyar lacks proper toilet facilities,Education
1761,Long waiting times reported at Phase 2 government hospital,Health
1762,Signboards are missing at the MG Road intersection,Traffic
1763,Long waiting times reported at Vadapalani government hospital,Health
1764,Textbooks not distributed on time in Tambaram schools,Education
1765,Signboards are missing at the Gandhi Street intersection,Traffic
1766,Bus conductor misbehaved with passengers on Sector 5 route,Public Transport
1767,There is no drinking water in Block C for the past 12 days,Water Supply
1768,Auto drivers are refusing to use the meter near North Street,Public Transport
1769,Broken compound wall near North Street is a safety hazard,Public Safety
1770,Water tanker did not arrive in Alwarpet as scheduled,Water Supply
1771,"Street lights remain on during daytime in Anna Nagar, wasting power",Street Lighting
1772,Bus stop shelter near Temple Street is damaged,Public Transport
1773,Speed breakers are missing near the school on Bypass Road,Road Maintenance
1774,Street light wiring is exposed and dangerous in T Nagar,Street Lighting
1775,Bus service is irregular on the Ambattur route,Public Transport
1776,A middleman is taking bribes for water connection approvals in Porur,Corruption
1777,Corruption reported in distribution of government scheme benefits in Saidapet,Corruption
1778,Solar street lights installed in near the temple are non functional,Street Lighting
1779,Unsafe construction site near Main Road lacks barricades,Public Safety
1780,Encroachment on the lake near Phase 2 is destroying wetlands,Environment
1781,Garbage is overflowing near School Lane in the housing board colony,Waste Management
1782,Zebra crossing markings have faded on Park Avenue,Traffic
1783,Open manhole causing danger on North Street in Pallavaram,Public Safety
1784,Bribe was demanded for issuing a building permit in the panchayat office area,Corruption
1785,A contractor is taking bribes for water connection approvals in the panchayat office area,Corruption
1786,No bus service available to Vadapalani after 8 pm,Public Transport
1787,Stray dogs are attacking residents in Vadapalani,Public Safety
1788,Burning of waste is causing smoke in Egmore,Environment
1789,Huge potholes on Station Road in Guindy,Road Maintenance
1790,Illegal dumping of waste is happening near Church Street,Waste Management
1791,Bus frequency has reduced drastically on Mylapore route,Public Transport
1792,Bus stop shelter near Main Road is damaged,Public Transport
1793,Contaminated water is being supplied in the housing board colony,Water Supply
1794,Hospital in Perambur has no doctors available,Health
1795,Road divider near North Street is broken,Road Maintenance
1796,Air pollution levels are high near the factory in the railway station road,Environment
1797,Bus conductor misbehaved with passengers on Adyar route,Public Transport
1798,School building near Bazaar Street needs urgent repair,Education
1799,Billing error in electricity charges for Pallavaram residents,Electricity
1800,Auto drivers are refusing to use the meter near MG Road,Public Transport
1801,New electricity connection is delayed in the industrial estate,Electricity
1802,Road near School Lane has not been repaired after monsoon,Road Maintenance
1803,Plastic waste dumped near the water body in the industrial estate,Environment
1804,Someone demanded a bribe for approval of a document in Porur,Corruption
1805,Bus conductor misbehaved with passengers on Royapettah route,Public Transport
1806,No science teacher appointed at Anna Nagar school for 6 months,Education
1807,Mid day meal quality is poor at Tambaram school,Education
1808,Huge potholes on Temple Street in the industrial estate,Road Maintenance
1809,Traffic signal timing is too short at Market Road,Traffic
1810,Teacher is absent regularly at the the housing board colony government school,Education
1811,Water pipe burst near Church Street in Royapettah,Water Supply
1812,Noise pollution from construction near Nehru Street at night,Environment
1813,Money was demanded for processing a pension application in the railway station road,Corruption
1814,Huge potholes on Gandhi Street in Royapettah,Road Maintenance
1815,Water pipe burst near Station Road in Perambur,Water Supply
1816,Illegal sand mining reported near Nungambakkam,Environment
1817,A contractor is taking bribes for water connection approvals in Kodambakkam,Corruption
1818,No specialist doctor visits the the industrial estate health center,Health
1819,Road divider near School Lane is broken,Road Maintenance
1820,Textbooks not distributed on time in T Nagar schools,Education
1821,"Traffic signal is damaged at North Street junction, Anna Nagar",Traffic
1822,Teacher is absent regularly at the Nungambakkam government school,Education
1823,Billing error in electricity charges for the housing board colony residents,Electricity
1824,Teacher is absent regularly at the Ambattur government school,Education
1825,Frequent traffic congestion on Bazaar Street during peak hours,Traffic
1826,Speed breakers are missing near the school on Park Avenue,Road Maintenance
1827,Stray dogs are attacking residents in Kodambakkam,Public Safety
1828,A municipal worker is taking bribes for water connection approvals in Ambattur,Corruption
1829,Zebra crossing markings have faded on Gandhi Street,Traffic
1830,Official at the Pallavaram office is demanding money for a certificate,Corruption
1831,Plastic waste dumped near the water body in T Nagar,Environment
1832,Billing error in electricity charges for Anna Nagar residents,Electricity
1833,"New street light pole is needed on MG Road, Velachery",Street Lighting
1834,Overcrowded classrooms reported in Ambattur government school,Education
1835,Contaminated water is being supplied in Saidapet,Water Supply
1836,Voltage fluctuation is damaging appliances in Ambattur,Electricity
1837,Hospital in the industrial estate has no doctors available,Health
1838,A middleman is taking bribes for water connection approvals in the government school area,Corruption
1839,No science teacher appointed at the old bus stand area school for 6 months,Education
1840,Overcrowded buses are running on the the industrial estate route,Public Transport
1841,School in Kolathur lacks proper toilet facilities,Education
1842,Live wire lying on School Lane poses electrocution risk,Public Safety
1843,"No signal at the school crossing near Gandhi Street, Mylapore",Traffic
1844,Frequent power cuts are occurring in the housing board colony,Electricity
1845,Live wire lying on School Lane poses electrocution risk,Public Safety
1846,"Traffic signal is damaged at School Lane junction, the government school area",Traffic
1847,Garbage collection truck has not come to Ambattur for 12 days,Waste Management
1848,Electricity is unavailable in the main market road for the past 11 days,Electricity
1849,Ambulance service is delayed in Saidapet,Health
1850,Textbooks not distributed on time in Porur schools,Education
1851,Hospital in Guindy lacks cleanliness and hygiene,Health
1852,Last bus timing has been cancelled for Ward 12,Public Transport
1853,Plastic waste dumped near the water body in Guindy,Environment
1854,Construction debris left on Station Road blocking traffic,Road Maintenance
1855,No traffic police present at busy junction near Station Road,Traffic
1856,Water pipe burst near Ring Road in the housing board colony,Water Supply
1857,Street lights are not working on Gandhi Street in Phase 2,Street Lighting
1858,"Traffic signal is damaged at Bazaar Street junction, Royapettah",Traffic
1859,"No signal at the school crossing near School Lane, Mylapore",Traffic
1860,Vaccination camp was cancelled without notice in Royapettah,Health
1861,There is no drinking water in Kolathur for the past 5 days,Water Supply
1862,Plastic waste dumped near the water body in Anna Nagar,Environment
1863,"New street light pole is needed on Church Street, the panchayat office area",Street Lighting
1864,Power supply tripped and not restored for 4 hours in Egmore,Electricity
1865,Long waiting times reported at Sector 5 government hospital,Health
1866,Garbage is overflowing near Gandhi Street in Perambur,Waste Management
1867,Street light flickers continuously on Gandhi Street,Street Lighting
1868,Street light wiring is exposed and dangerous in Vadapalani,Street Lighting
1869,Stray dogs are attacking residents in Porur,Public Safety
1870,Bus service is irregular on the Perambur route,Public Transport
1871,Last bus timing has been cancelled for Porur,Public Transport
1872,Garbage is overflowing near Ring Road in Egmore,Waste Management
1873,Segregated waste is being mixed by collection staff in Kolathur,Waste Management
1874,Borewell in Perambur has run dry,Water Supply
1875,Electric pole near Temple Street is leaning dangerously,Electricity
1876,Signboards are missing at the MG Road intersection,Traffic
1877,Water pipe burst near Church Street in Mylapore,Water Supply
1878,School in Royapettah lacks proper toilet facilities,Education
