Complaint,Department,Label
Contaminated water is being supplied in Egmore,Water Supply,11
Overcrowded classrooms reported in Chromepet government school,Education,1
Official at the the main market road office is demanding money for a certificate,Corruption,0
"New street light pole is needed on Ring Road, Sector 5",Street Lighting,8
Illegal dumping of waste is happening near Ring Road,Waste Management,10
Official at the Ward 12 office is demanding money for a certificate,Corruption,0
Deep pit left uncovered near Market Road in Nungambakkam,Public Safety,5
3 street lights have been off for weeks near Nehru Street,Street Lighting,8
Streetside electric meter is sparking in Perambur,Electricity,2
Waterlogging occurs on MG Road during rains,Road Maintenance,7
Public dustbin near North Street is broken and overflowing,Waste Management,10
Hospital in T Nagar lacks cleanliness and hygiene,Health,4
Government hospital near Bypass Road lacks basic medicines,Health,4
Burning of waste is causing smoke in the panchayat office area,Environment,3
There is no drinking water in the panchayat office area for the past 8 days,Water Supply,11
Illegal tree cutting is happening near Church Street in Velachery,Environment,3
Billing error in electricity charges for Chromepet residents,Electricity,2
Overcrowded classrooms reported in Sector 5 government school,Education,1
"Low water pressure reported near Park Avenue, Tambaram",Water Supply,11
Water pipe burst near South Street in the main market road,Water Supply,11
Speed breakers are missing near the school on Market Road,Road Maintenance,7
Zebra crossing markings have faded on Church Street,Traffic,9
No security personnel at the public park in Chromepet,Public Safety,5
Vaccination camp was cancelled without notice in Adyar,Health,4
Illegal sand mining reported near T Nagar,Environment,3
Long waiting times reported at Chromepet government hospital,Health,4
Illegal dumping of waste is happening near MG Road,Waste Management,10
Electricity is unavailable in Nungambakkam for the past 4 days,Electricity,2
Garbage is overflowing near South Street in Vadapalani,Waste Management,10
Hospital in Tambaram has no doctors available,Health,4
Government hospital near Main Road lacks basic medicines,Health,4
No waste collection service provided in Pallavaram colony,Waste Management,10
Garbage is overflowing near Church Street in Tambaram,Waste Management,10
Bus service is irregular on the Block C route,Public Transport,6
Illegal sand mining reported near Saidapet,Environment,3
Deep pit left uncovered near Nehru Street in the old bus stand area,Public Safety,5
Bus frequency has reduced drastically on Anna Nagar route,Public Transport,6
No waste collection service provided in Perambur colony,Waste Management,10
Dead animal left uncollected on North Street in Kolathur,Waste Management,10
No water connection provided despite application in the government school area,Water Supply,11
"No signal at the school crossing near Temple Street, Tambaram",Traffic,9
Overcrowded classrooms reported in Porur government school,Education,1
Corruption reported in distribution of government scheme benefits in Block C,Corruption,0
Burning of waste is causing smoke in Adyar,Environment,3
Vaccination camp was cancelled without notice in Phase 2,Health,4
Frequent power cuts are occurring in Adyar,Electricity,2
School building near Main Road needs urgent repair,Education,1
Construction debris left on Temple Street blocking traffic,Road Maintenance,7
Public dustbin near Bypass Road is broken and overflowing,Waste Management,10
Newly laid road on Gandhi Street is already damaged,Road Maintenance,7
Vaccination camp was cancelled without notice in Ambattur,Health,4
Corruption reported in distribution of government scheme benefits in Perambur,Corruption,0
No specialist doctor visits the Guindy health center,Health,4
Road divider near Station Road is broken,Road Maintenance,7
Illegal sand mining reported near Royapettah,Environment,3
Waterlogging occurs on Market Road during rains,Road Maintenance,7
"No signal at the school crossing near Park Avenue, Pallavaram",Traffic,9
Solar street lights installed in Mylapore are non functional,Street Lighting,8
Streetside electric meter is sparking in Kodambakkam,Electricity,2
Bribe was demanded for issuing a building permit in Block C,Corruption,0
Illegal dumping of waste is happening near North Street,Waste Management,10
Dead animal left uncollected on North Street in Kodambakkam,Waste Management,10
Bribe was demanded for issuing a building permit in Kolathur,Corruption,0
Voltage fluctuation is damaging appliances in the industrial estate,Electricity,2
Air pollution levels are high near the factory in the housing board colony,Environment,3
Bribe was demanded for issuing a building permit in Tambaram,Corruption,0
Noise pollution from construction near Park Avenue at night,Environment,3
Water tanker did not arrive in Phase 2 as scheduled,Water Supply,11
Live wire lying on South Street poses electrocution risk,Public Safety,5
Live wire lying on Main Road poses electrocution risk,Public Safety,5
Teacher is absent regularly at the the housing board colony government school,Education,1
Dead animal left uncollected on Gandhi Street in the industrial estate,Waste Management,10
Unsafe construction site near North Street lacks barricades,Public Safety,5
There is no drinking water in Mylapore for the past 7 days,Water Supply,11
No water connection provided despite application in Alwarpet,Water Supply,11
Frequent traffic congestion on South Street during peak hours,Traffic,9
Vaccination camp was cancelled without notice in Ambattur,Health,4
Water supply has been irregular in the panchayat office area for 10 weeks,Water Supply,11
School in Porur lacks proper toilet facilities,Education,1
Unsafe construction site near Temple Street lacks barricades,Public Safety,5
Street light wiring is exposed and dangerous in the railway station road,Street Lighting,8
No science teacher appointed at Tambaram school for 14 months,Education,1
Corruption reported in distribution of government scheme benefits in Porur,Corruption,0
Bus conductor misbehaved with passengers on the old bus stand area route,Public Transport,6
Long waiting times reported at Kolathur government hospital,Health,4
Broken compound wall near South Street is a safety hazard,Public Safety,5
A municipal worker is taking bribes for water connection approvals in Egmore,Corruption,0
"Traffic signal is damaged at Bypass Road junction, near the temple",Traffic,9
Street light wiring is exposed and dangerous in Porur,Street Lighting,8
"No footpath available on Temple Street, pedestrians face danger",Road Maintenance,7
No specialist doctor visits the Anna Nagar health center,Health,4
Waterlogging occurs on Temple Street during rains,Road Maintenance,7
Illegal tree cutting is happening near School Lane in Alwarpet,Environment,3
Illegal parking is causing traffic jams on Bazaar Street,Traffic,9
Road divider near Temple Street is broken,Road Maintenance,7
Borewell in Porur has run dry,Water Supply,11
Mid day meal quality is poor at Phase 2 school,Education,1
Auto drivers are refusing to use the meter near Bazaar Street,Public Transport,6
Broken compound wall near MG Road is a safety hazard,Public Safety,5
Newly laid road on North Street is already damaged,Road Maintenance,7
Government hospital near Bypass Road lacks basic medicines,Health,4
No water connection provided despite application in the panchayat office area,Water Supply,11
School lacks drinking water facility in the housing board colony,Education,1
Plastic waste dumped near the water body in Adyar,Environment,3
Abandoned building near Station Road is unsafe for children,Public Safety,5
Official at the Chromepet office is demanding money for a certificate,Corruption,0
No security personnel at the public park in the panchayat office area,Public Safety,5
Illegal tree cutting is happening near Station Road in Royapettah,Environment,3
Bus conductor misbehaved with passengers on Adyar route,Public Transport,6
Leaking pipeline is wasting water on Station Road,Water Supply,11
Burning of waste is causing smoke in the old bus stand area,Environment,3
Garbage is overflowing near Church Street in Ambattur,Waste Management,10
Contaminated water is being supplied in the industrial estate,Water Supply,11
An officer at the counter is taking bribes for water connection approvals in Guindy,Corruption,0
"Street lights remain on during daytime in the railway station road, wasting power",Street Lighting,8
"No signal at the school crossing near MG Road, Kodambakkam",Traffic,9
No traffic police present at busy junction near Gandhi Street,Traffic,9
Speed breakers are missing near the school on South Street,Road Maintenance,7
A contractor is taking bribes for water connection approvals in Egmore,Corruption,0
An officer at the counter is taking bribes for water connection approvals in Nungambakkam,Corruption,0
Corruption reported in distribution of government scheme benefits in Sector 5,Corruption,0
Dead animal left uncollected on Main Road in Phase 2,Waste Management,10
Long waiting times reported at Sector 5 government hospital,Health,4
Water tanker did not arrive in the housing board colony as scheduled,Water Supply,11
Road divider near Gandhi Street is broken,Road Maintenance,7
Someone demanded a bribe for approval of a document in Vadapalani,Corruption,0
Last bus timing has been cancelled for Nungambakkam,Public Transport,6
Ambulance service is delayed in the old bus stand area,Health,4
Borewell in Sector 5 has run dry,Water Supply,11
Overcrowded buses are running on the Perambur route,Public Transport,6
No security personnel at the public park in Kodambakkam,Public Safety,5
No water connection provided despite application in Kodambakkam,Water Supply,11
Bus conductor misbehaved with passengers on Adyar route,Public Transport,6
Water tanker did not arrive in Kodambakkam as scheduled,Water Supply,11
Bus service is irregular on the Guindy route,Public Transport,6
Ambulance service is delayed in Porur,Health,4
Solar street lights installed in Sector 5 are non functional,Street Lighting,8
Auto drivers are refusing to use the meter near Bypass Road,Public Transport,6
No waste collection service provided in Ambattur colony,Waste Management,10
Vaccination camp was cancelled without notice in Velachery,Health,4
Garbage collection truck has not come to Ward 12 for 13 days,Waste Management,10
Illegal parking is causing traffic jams on Nehru Street,Traffic,9
Newly laid road on Nehru Street is already damaged,Road Maintenance,7
Garbage is overflowing near South Street in Sector 5,Waste Management,10
Dumping ground near Royapettah is causing bad odor,Waste Management,10
Solar street lights installed in Kodambakkam are non functional,Street Lighting,8
Encroachment on the lake near Velachery is destroying wetlands,Environment,3
No security personnel at the public park in Chromepet,Public Safety,5
Billing error in electricity charges for the main market road residents,Electricity,2
Speed breakers are missing near the school on North Street,Road Maintenance,7
Contaminated water is being supplied in Porur,Water Supply,11
Road near South Street has not been repaired after monsoon,Road Maintenance,7
Government hospital near MG Road lacks basic medicines,Health,4
Illegal parking is causing traffic jams on North Street,Traffic,9
Speed breakers are missing near the school on Park Avenue,Road Maintenance,7
11 street lights have been off for weeks near South Street,Street Lighting,8
No bus service available to Anna Nagar after 8 pm,Public Transport,6
No security personnel at the public park in Pallavaram,Public Safety,5
Deep pit left uncovered near South Street in Velachery,Public Safety,5
Illegal dumping of waste is happening near School Lane,Waste Management,10
Street lights are not working on Bypass Road in Chromepet,Street Lighting,8
School lacks drinking water facility in Ward 12,Education,1
Road divider near School Lane is broken,Road Maintenance,7
Borewell in Porur has run dry,Water Supply,11
Zebra crossing markings have faded on South Street,Traffic,9
Water supply has been irregular in Vadapalani for 11 weeks,Water Supply,11
"New street light pole is needed on North Street, near the temple",Street Lighting,8
Electricity is unavailable in Adyar for the past 11 days,Electricity,2
Auto drivers are refusing to use the meter near Market Road,Public Transport,6
Hospital in Adyar lacks cleanliness and hygiene,Health,4
Plastic waste dumped near the water body in Egmore,Environment,3
Broken compound wall near Main Road is a safety hazard,Public Safety,5
Last bus timing has been cancelled for Perambur,Public Transport,6
Newly laid road on South Street is already damaged,Road Maintenance,7
Official at the Royapettah office is demanding money for a certificate,Corruption,0
Encroachment on the lake near the industrial estate is destroying wetlands,Environment,3
Traffic signal timing is too short at Bazaar Street,Traffic,9
"Low water pressure reported near Station Road, near the temple",Water Supply,11
"New street light pole is needed on Bypass Road, Mylapore",Street Lighting,8
Dumping ground near Sector 5 is causing bad odor,Waste Management,10
Bribe was demanded for issuing a building permit in Nungambakkam,Corruption,0
Encroachment on the lake near Nungambakkam is destroying wetlands,Environment,3
Street lights are not working on Main Road in T Nagar,Street Lighting,8
Hospital in the main market road lacks cleanliness and hygiene,Health,4
Dark stretch on Station Road due to broken street lights,Street Lighting,8
No bus service available to Kodambakkam after 8 pm,Public Transport,6
Bus conductor misbehaved with passengers on the panchayat office area route,Public Transport,6
Garbage collection truck has not come to Pallavaram for 13 days,Waste Management,10
Contaminated water is being supplied in Pallavaram,Water Supply,11
Bus service is irregular on the Ward 12 route,Public Transport,6
Hospital in Kolathur lacks cleanliness and hygiene,Health,4
Burning of waste is causing smoke in Phase 2,Environment,3
Bribe was demanded for issuing a building permit in the industrial estate,Corruption,0
Electric pole near Park Avenue is leaning dangerously,Electricity,2
Street light wiring is exposed and dangerous in Chromepet,Street Lighting,8
School building near Temple Street needs urgent repair,Education,1
No security personnel at the public park in Kodambakkam,Public Safety,5
Bus service is irregular on the Anna Nagar route,Public Transport,6
Garbage collection truck has not come to Block C for 3 days,Waste Management,10
Burning of waste is causing smoke in Sector 5,Environment,3
Auto drivers are refusing to use the meter near Temple Street,Public Transport,6
Garbage collection truck has not come to near the temple for 5 days,Waste Management,10
Overcrowded classrooms reported in Alwarpet government school,Education,1
Teacher is absent regularly at the Nungambakkam government school,Education,1
Public dustbin near Church Street is broken and overflowing,Waste Management,10
Noise pollution from construction near Station Road at night,Environment,3
Official at the Royapettah office is demanding money for a certificate,Corruption,0
Vaccination camp was cancelled without notice in Velachery,Health,4
Vaccination camp was cancelled without notice in Phase 2,Health,4
Official at the the housing board colony office is demanding money for a certificate,Corruption,0
Textbooks not distributed on time in Pallavaram schools,Education,1
Contaminated water is being supplied in Tambaram,Water Supply,11
Street lights are not working on Church Street in Kolathur,Street Lighting,8
Garbage is overflowing near Church Street in Phase 2,Waste Management,10
Street light wiring is exposed and dangerous in near the temple,Street Lighting,8
Waterlogging occurs on Station Road during rains,Road Maintenance,7
Abandoned building near Bazaar Street is unsafe for children,Public Safety,5
A contractor asked for extra money to process ration card in Tambaram,Corruption,0
Solar street lights installed in Tambaram are non functional,Street Lighting,8
Money was demanded for processing a pension application in Royapettah,Corruption,0
Road near South Street has not been repaired after monsoon,Road Maintenance,7
11 street lights have been off for weeks near Church Street,Street Lighting,8
Segregated waste is being mixed by collection staff in near the temple,Waste Management,10
Official at the Perambur office is demanding money for a certificate,Corruption,0
Hospital in Perambur has no doctors available,Health,4
Contaminated water is being supplied in Ward 12,Water Supply,11
No water connection provided despite application in Royapettah,Water Supply,11
6 street lights have been off for weeks near Station Road,Street Lighting,8
Bus conductor misbehaved with passengers on the railway station road route,Public Transport,6
Primary health center in Alwarpet is understaffed,Health,4
Government hospital near Church Street lacks basic medicines,Health,4
Illegal parking is causing traffic jams on Ring Road,Traffic,9
Live wire lying on South Street poses electrocution risk,Public Safety,5
Newly laid road on Church Street is already damaged,Road Maintenance,7
Garbage is overflowing near Station Road in Kodambakkam,Waste Management,10
Teacher is absent regularly at the Egmore government school,Education,1
Ambulance service is delayed in the old bus stand area,Health,4
"New street light pole is needed on Gandhi Street, the railway station road",Street Lighting,8
Electric pole near Market Road is leaning dangerously,Electricity,2
Open manhole causing danger on Gandhi Street in the railway station road,Public Safety,5
Illegal tree cutting is happening near Station Road in Alwarpet,Environment,3
School in Sector 5 lacks proper toilet facilities,Education,1
Exposed wires near Ring Road pose a danger to residents,Electricity,2
Construction debris left on Ring Road blocking traffic,Road Maintenance,7
Government hospital near South Street lacks basic medicines,Health,4
Bus service is irregular on the Mylapore route,Public Transport,6
"Street lights remain on during daytime in Guindy, wasting power",Street Lighting,8
Air pollution levels are high near the factory in the government school area,Environment,3
Overcrowded classrooms reported in the railway station road government school,Education,1
Illegal dumping of waste is happening near School Lane,Waste Management,10
"No footpath available on Church Street, pedestrians face danger",Road Maintenance,7
"No signal at the school crossing near Station Road, Nungambakkam",Traffic,9
Open manhole causing danger on Bazaar Street in Vadapalani,Public Safety,5
Long waiting times reported at Sector 5 government hospital,Health,4
Water tanker did not arrive in the railway station road as scheduled,Water Supply,11
Open manhole causing danger on Church Street in Saidapet,Public Safety,5
Noise pollution from construction near Park Avenue at night,Environment,3
Frequent traffic congestion on Bazaar Street during peak hours,Traffic,9
Transformer near Nehru Street in the panchayat office area is not working,Electricity,2
Textbooks not distributed on time in Ambattur schools,Education,1
Street lights are not working on Station Road in Kodambakkam,Street Lighting,8
Newly laid road on Ring Road is already damaged,Road Maintenance,7
Exposed wires near Bazaar Street pose a danger to residents,Electricity,2
Vaccination camp was cancelled without notice in Tambaram,Health,4
Billing error in electricity charges for Ward 12 residents,Electricity,2
Illegal sand mining reported near Ambattur,Environment,3
Primary health center in Anna Nagar is understaffed,Health,4
Public dustbin near South Street is broken and overflowing,Waste Management,10
A middleman is taking bribes for water connection approvals in Porur,Corruption,0
Textbooks not distributed on time in the panchayat office area schools,Education,1
Leaking pipeline is wasting water on Park Avenue,Water Supply,11
Burning of waste is causing smoke in Ward 12,Environment,3
There is no drinking water in Adyar for the past 15 days,Water Supply,11
No science teacher appointed at Kolathur school for 6 months,Education,1
Street lights are not working on Park Avenue in the industrial estate,Street Lighting,8
There is no drinking water in the government school area for the past 2 days,Water Supply,11
Exposed wires near North Street pose a danger to residents,Electricity,2
Frequent power cuts are occurring in Anna Nagar,Electricity,2
"No footpath available on Church Street, pedestrians face danger",Road Maintenance,7
Primary health center in Ambattur is understaffed,Health,4
Dead animal left uncollected on Main Road in Royapettah,Waste Management,10
Zebra crossing markings have faded on Temple Street,Traffic,9
"New street light pole is needed on Park Avenue, Kolathur",Street Lighting,8
Official at the the panchayat office area office is demanding money for a certificate,Corruption,0
"Low water pressure reported near North Street, Kodambakkam",Water Supply,11
Auto drivers are refusing to use the meter near Temple Street,Public Transport,6
Dark stretch on Main Road due to broken street lights,Street Lighting,8
Water pipe burst near Bypass Road in the old bus stand area,Water Supply,11
No waste collection service provided in the old bus stand area colony,Waste Management,10
A municipal worker asked for extra money to process ration card in Block C,Corruption,0
Garbage collection truck has not come to Alwarpet for 2 days,Waste Management,10
Bribe was demanded for issuing a building permit in Phase 2,Corruption,0
Money was demanded for processing a pension application in Guindy,Corruption,0
Street lights are not working on Gandhi Street in Ward 12,Street Lighting,8
Billing error in electricity charges for Guindy residents,Electricity,2
New electricity connection is delayed in Royapettah,Electricity,2
Primary health center in Sector 5 is understaffed,Health,4
No specialist doctor visits the the housing board colony health center,Health,4
Electric pole near Ring Road is leaning dangerously,Electricity,2
No traffic police present at busy junction near Gandhi Street,Traffic,9
Electric pole near Market Road is leaning dangerously,Electricity,2
Overcrowded buses are running on the Porur route,Public Transport,6
Auto drivers are refusing to use the meter near Nehru Street,Public Transport,6
New electricity connection is delayed in the industrial estate,Electricity,2
Illegal parking is causing traffic jams on Bazaar Street,Traffic,9
Frequent traffic congestion on School Lane during peak hours,Traffic,9
Bribe was demanded for issuing a building permit in Kodambakkam,Corruption,0
Hospital in Sector 5 lacks cleanliness and hygiene,Health,4
Hospital in Saidapet lacks cleanliness and hygiene,Health,4
Public dustbin near South Street is broken and overflowing,Waste Management,10
No traffic police present at busy junction near Nehru Street,Traffic,9
Deep pit left uncovered near Main Road in Egmore,Public Safety,5
Abandoned building near Station Road is unsafe for children,Public Safety,5
Speed breakers are missing near the school on Ring Road,Road Maintenance,7
Street light flickers continuously on Station Road,Street Lighting,8
"No signal at the school crossing near Nehru Street, Velachery",Traffic,9
3 street lights have been off for weeks near Park Avenue,Street Lighting,8
Stray dogs are attacking residents in Mylapore,Public Safety,5
Water pipe burst near Temple Street in Egmore,Water Supply,11
8 street lights have been off for weeks near Temple Street,Street Lighting,8
Stray dogs are attacking residents in the old bus stand area,Public Safety,5
Last bus timing has been cancelled for Phase 2,Public Transport,6
Dumping ground near Ward 12 is causing bad odor,Waste Management,10
Dark stretch on South Street due to broken street lights,Street Lighting,8
Burning of waste is causing smoke in the panchayat office area,Environment,3
Zebra crossing markings have faded on South Street,Traffic,9
Traffic signal timing is too short at Ring Road,Traffic,9
Overcrowded classrooms reported in Pallavaram government school,Education,1
No bus service available to Sector 5 after 8 pm,Public Transport,6
Water tanker did not arrive in the panchayat office area as scheduled,Water Supply,11
Frequent traffic congestion on Station Road during peak hours,Traffic,9
Plastic waste dumped near the water body in Velachery,Environment,3
Huge potholes on Bypass Road in Ward 12,Road Maintenance,7
Live wire lying on Church Street poses electrocution risk,Public Safety,5
Mid day meal quality is poor at Tambaram school,Education,1
Corruption reported in distribution of government scheme benefits in Block C,Corruption,0
Dumping ground near Perambur is causing bad odor,Waste Management,10
Garbage is overflowing near Station Road in Mylapore,Waste Management,10
Illegal tree cutting is happening near Bazaar Street in Pallavaram,Environment,3
"Traffic signal is damaged at MG Road junction, Velachery",Traffic,9
Corruption reported in distribution of government scheme benefits in Mylapore,Corruption,0
Money was demanded for processing a pension application in T Nagar,Corruption,0
Overcrowded buses are running on the Tambaram route,Public Transport,6
"Traffic signal is damaged at School Lane junction, the government school area",Traffic,9
Overcrowded buses are running on the Anna Nagar route,Public Transport,6
No specialist doctor visits the Porur health center,Health,4
Corruption reported in distribution of government scheme benefits in Saidapet,Corruption,0
School building near Ring Road needs urgent repair,Education,1
Live wire lying on MG Road poses electrocution risk,Public Safety,5
Broken compound wall near MG Road is a safety hazard,Public Safety,5
A government official asked for extra money to process ration card in Tambaram,Corruption,0
Last bus timing has been cancelled for Ambattur,Public Transport,6
Abandoned building near Gandhi Street is unsafe for children,Public Safety,5
No specialist doctor visits the Block C health center,Health,4
Contaminated water is being supplied in Pallavaram,Water Supply,11
No waste collection service provided in the housing board colony colony,Waste Management,10
No specialist doctor visits the Pallavaram health center,Health,4
School building near MG Road needs urgent repair,Education,1
Overhead tank in Adyar has not been cleaned in months,Water Supply,11
Street light wiring is exposed and dangerous in Guindy,Street Lighting,8
Streetside electric meter is sparking in T Nagar,Electricity,2
Live wire lying on Nehru Street poses electrocution risk,Public Safety,5
Dumping ground near Guindy is causing bad odor,Waste Management,10
Bribe was demanded for issuing a building permit in Nungambakkam,Corruption,0
Official at the Block C office is demanding money for a certificate,Corruption,0
Ambulance service is delayed in Ambattur,Health,4
Someone demanded a bribe for approval of a document in Porur,Corruption,0
Water supply has been irregular in Vadapalani for 12 weeks,Water Supply,11
New electricity connection is delayed in the panchayat office area,Electricity,2
No traffic police present at busy junction near School Lane,Traffic,9
Segregated waste is being mixed by collection staff in Kodambakkam,Waste Management,10
Zebra crossing markings have faded on Temple Street,Traffic,9
Long waiting times reported at Block C government hospital,Health,4
No security personnel at the public park in Kolathur,Public Safety,5
Hospital in the old bus stand area lacks cleanliness and hygiene,Health,4
Illegal parking is causing traffic jams on South Street,Traffic,9
Construction debris left on School Lane blocking traffic,Road Maintenance,7
Speed breakers are missing near the school on Park Avenue,Road Maintenance,7
"Street lights remain on during daytime in Alwarpet, wasting power",Street Lighting,8
Waterlogging occurs on Nehru Street during rains,Road Maintenance,7
Open manhole causing danger on MG Road in Perambur,Public Safety,5
"Street lights remain on during daytime in Mylapore, wasting power",Street Lighting,8
Air pollution levels are high near the factory in Kolathur,Environment,3
Dead animal left uncollected on Temple Street in Porur,Waste Management,10
No waste collection service provided in T Nagar colony,Waste Management,10
Last bus timing has been cancelled for Kodambakkam,Public Transport,6
Public dustbin near Bazaar Street is broken and overflowing,Waste Management,10
Water tanker did not arrive in Ward 12 as scheduled,Water Supply,11
Long waiting times reported at Tambaram government hospital,Health,4
Corruption reported in distribution of government scheme benefits in Mylapore,Corruption,0
New electricity connection is delayed in the industrial estate,Electricity,2
Bus service is irregular on the Ambattur route,Public Transport,6
Hospital in Kodambakkam has no doctors available,Health,4
Stray dogs are attacking residents in the railway station road,Public Safety,5
Frequent traffic congestion on School Lane during peak hours,Traffic,9
Illegal parking is causing traffic jams on Main Road,Traffic,9
Road near Main Road has not been repaired after monsoon,Road Maintenance,7
Contaminated water is being supplied in near the temple,Water Supply,11
Public dustbin near Market Road is broken and overflowing,Waste Management,10
No security personnel at the public park in the government school area,Public Safety,5
Last bus timing has been cancelled for Pallavaram,Public Transport,6
Encroachment on the lake near the housing board colony is destroying wetlands,Environment,3
Frequent power cuts are occurring in Mylapore,Electricity,2
Electric pole near South Street is leaning dangerously,Electricity,2
Bus service is irregular on the Ward 12 route,Public Transport,6
"Traffic signal is damaged at Bazaar Street junction, Phase 2",Traffic,9
Open manhole causing danger on Bazaar Street in Phase 2,Public Safety,5
Dead animal left uncollected on Temple Street in Royapettah,Waste Management,10
Last bus timing has been cancelled for Block C,Public Transport,6
Noise pollution from construction near Church Street at night,Environment,3
Primary health center in Perambur is understaffed,Health,4
Burning of waste is causing smoke in Velachery,Environment,3
Electric pole near Gandhi Street is leaning dangerously,Electricity,2
Textbooks not distributed on time in the railway station road schools,Education,1
No water connection provided despite application in T Nagar,Water Supply,11
Solar street lights installed in the old bus stand area are non functional,Street Lighting,8
Someone demanded a bribe for approval of a document in the panchayat office area,Corruption,0
Overcrowded buses are running on the Block C route,Public Transport,6
Billing error in electricity charges for Anna Nagar residents,Electricity,2
Water body near Mylapore is being polluted by industrial waste,Environment,3
Illegal parking is causing traffic jams on Gandhi Street,Traffic,9
Bus service is irregular on the Nungambakkam route,Public Transport,6
Bus frequency has reduced drastically on Anna Nagar route,Public Transport,6
Water supply has been irregular in Ward 12 for 8 weeks,Water Supply,11
Noise pollution from construction near Market Road at night,Environment,3
Last bus timing has been cancelled for Porur,Public Transport,6
Dead animal left uncollected on Main Road in the housing board colony,Waste Management,10
Illegal tree cutting is happening near Station Road in Ward 12,Environment,3
"Street lights remain on during daytime in Ambattur, wasting power",Street Lighting,8
Illegal sand mining reported near Porur,Environment,3
Hospital in Nungambakkam lacks cleanliness and hygiene,Health,4
9 street lights have been off for weeks near Main Road,Street Lighting,8
Hospital in Nungambakkam lacks cleanliness and hygiene,Health,4
13 street lights have been off for weeks near MG Road,Street Lighting,8
Borewell in Kodambakkam has run dry,Water Supply,11
Overcrowded buses are running on the Saidapet route,Public Transport,6
No waste collection service provided in Phase 2 colony,Waste Management,10
No science teacher appointed at Sector 5 school for 13 months,Education,1
Huge potholes on Gandhi Street in Block C,Road Maintenance,7
No specialist doctor visits the Kodambakkam health center,Health,4
Someone demanded a bribe for approval of a document in Chromepet,Corruption,0
Open manhole causing danger on Market Road in Sector 5,Public Safety,5
Money was demanded for processing a pension application in the old bus stand area,Corruption,0
Overcrowded buses are running on the the industrial estate route,Public Transport,6
Broken compound wall near Bypass Road is a safety hazard,Public Safety,5
No bus service available to Perambur after 8 pm,Public Transport,6
Frequent traffic congestion on North Street during peak hours,Traffic,9
Signboards are missing at the Ring Road intersection,Traffic,9
Bus frequency has reduced drastically on Egmore route,Public Transport,6
Overhead tank in Ward 12 has not been cleaned in months,Water Supply,11
Government hospital near Main Road lacks basic medicines,Health,4
"Low water pressure reported near Park Avenue, the housing board colony",Water Supply,11
Burning of waste is causing smoke in Kolathur,Environment,3
Burning of waste is causing smoke in Saidapet,Environment,3
Hospital in Block C has no doctors available,Health,4
Dumping ground near Kodambakkam is causing bad odor,Waste Management,10
Transformer near Ring Road in Ward 12 is not working,Electricity,2
Hospital in Velachery has no doctors available,Health,4
Garbage is overflowing near Market Road in Pallavaram,Waste Management,10
Auto drivers are refusing to use the meter near Bazaar Street,Public Transport,6
Ambulance service is delayed in Kolathur,Health,4
Deep pit left uncovered near Market Road in Vadapalani,Public Safety,5
Live wire lying on South Street poses electrocution risk,Public Safety,5
Bus service is irregular on the the main market road route,Public Transport,6
Illegal sand mining reported near the industrial estate,Environment,3
Dead animal left uncollected on School Lane in Nungambakkam,Waste Management,10
Illegal sand mining reported near Velachery,Environment,3
Water body near Saidapet is being polluted by industrial waste,Environment,3
Hospital in near the temple lacks cleanliness and hygiene,Health,4
Huge potholes on Main Road in Nungambakkam,Road Maintenance,7
Public dustbin near Park Avenue is broken and overflowing,Waste Management,10
Live wire lying on School Lane poses electrocution risk,Public Safety,5
Noise pollution from construction near North Street at night,Environment,3
Air pollution levels are high near the factory in Porur,Environment,3
Illegal tree cutting is happening near School Lane in Block C,Environment,3
Bus frequency has reduced drastically on Anna Nagar route,Public Transport,6
Frequent power cuts are occurring in the housing board colony,Electricity,2
Government hospital near Nehru Street lacks basic medicines,Health,4
Bus stop shelter near Main Road is damaged,Public Transport,6
Burning of waste is causing smoke in the government school area,Environment,3
Vaccination camp was cancelled without notice in Royapettah,Health,4
Street lights are not working on Nehru Street in Porur,Street Lighting,8
Garbage is overflowing near MG Road in Nungambakkam,Waste Management,10
Money was demanded for processing a pension application in Perambur,Corruption,0
Air pollution levels are high near the factory in Perambur,Environment,3
Water tanker did not arrive in the housing board colony as scheduled,Water Supply,11
Bus service is irregular on the Ambattur route,Public Transport,6
Water body near Block C is being polluted by industrial waste,Environment,3
Street lights are not working on School Lane in Pallavaram,Street Lighting,8
Waterlogging occurs on Church Street during rains,Road Maintenance,7
No water connection provided despite application in Ambattur,Water Supply,11
Voltage fluctuation is damaging appliances in Ambattur,Electricity,2
Deep pit left uncovered near Ring Road in Guindy,Public Safety,5
13 street lights have been off for weeks near Market Road,Street Lighting,8
"Low water pressure reported near Ring Road, Adyar",Water Supply,11
Air pollution levels are high near the factory in Sector 5,Environment,3
Road divider near MG Road is broken,Road Maintenance,7
Air pollution levels are high near the factory in Nungambakkam,Environment,3
Borewell in the panchayat office area has run dry,Water Supply,11
School lacks drinking water facility in Block C,Education,1
Noise pollution from construction near School Lane at night,Environment,3
Textbooks not distributed on time in Chromepet schools,Education,1
Street light wiring is exposed and dangerous in Vadapalani,Street Lighting,8
Unsafe construction site near Ring Road lacks barricades,Public Safety,5
Bus conductor misbehaved with passengers on the railway station road route,Public Transport,6
"New street light pole is needed on Market Road, Nungambakkam",Street Lighting,8
Last bus timing has been cancelled for near the temple,Public Transport,6
